VALUE,LOCATION,POSTCODE
0,ALEXANDER HEIGHTS,6064
1,ALFRED COVE,6154
2,ALKIMOS,6038
3,ANKETELL,6167
4,APPLECROSS,6153
5,ARDROSS,6153
6,ARMADALE,6112
7,ASCOT,6104
8,ASHBY,6065
9,ASHFIELD,6054
10,ATTADALE,6156
11,ATWELL,6164
12,AUBIN GROVE,6164
13,AVELEY,6069
14,BALCATTA,6021
15,BALDIVIS,6171
16,BALGA,6061
17,BALLAJURA,6066
18,BANJUP,6164
19,BANKSIA GROVE,6031
20,BARRAGUP,6209
21,BASKERVILLE,6056
22,BASSENDEAN,6054
23,BATEMAN,6150
24,BAYSWATER,6053
25,BEACONSFIELD,6162
26,BECKENHAM,6107
27,BEDFORD,6052
28,BEDFORDALE,6112
29,BEECHBORO,6063
30,BEECHINA,6556
31,BEELIAR,6164
32,BELDON,6027
33,BELHUS,6069
34,BELLEVUE,6056
35,BELMONT,6104
36,BENNETT SPRINGS,6063
37,BENTLEY,6102
38,BERTRAM,6167
39,BIBRA LAKE,6163
40,BICKLEY,6076
41,BICTON,6157
42,BLYTHEWOOD,6208
43,BOORAGOON,6154
44,BOUVARD,6211
45,BOYA,6056
46,BRABHAM,6055
47,BRENTWOOD,6153
48,BRIGADOON,6069
49,BROOKDALE,6112
50,BULL CREEK,6149
51,BURNS BEACH,6028
52,BURSWOOD,6100
53,BUTLER,6036
54,BYFORD,6122
55,CALISTA,6167
56,CAMILLO,6111
57,CANNING MILLS,6111
58,CANNING VALE,6155
59,CANNINGTON,6107
60,CARABOODA,6033
61,CARDUP,6122
62,CARINE,6020
63,CARLISLE,6101
64,CARMEL,6076
65,CARRAMAR,6031
66,CASUARINA,6167
67,CAVERSHAM,6055
68,CHAMPION LAKES,6111
69,CHURCHLANDS,6018
70,CITY BEACH,6015
71,CLAREMONT,6010
72,CLARKSON,6030
73,CLOVERDALE,6105
74,COMO,6152
75,CONNOLLY,6027
76,COODANUP,6210
77,COOGEE,6166
78,COOLBELLUP,6163
79,COOLBINIA,6050
80,COOLOONGUP,6168
81,COTTESLOE,6011
82,CRAIGIE,6025
83,CRAWLEY,6009
84,CULLACABARDEE,6067
85,CURRAMBINE,6028
86,DAGLISH,6008
87,DALKEITH,6009
88,DARCH,6065
89,DARLING DOWNS,6122
90,DARLINGTON,6070
91,DAWESVILLE,6211
92,DAYTON,6055
93,DIANELLA,6059
94,DOUBLEVIEW,6018
95,DUDLEY PARK,6210
96,DUNCRAIG,6023
97,EAST CANNINGTON,6107
98,EAST FREMANTLE,6158
99,EAST PERTH,6004
100,EAST ROCKINGHAM,6168
101,EAST VICTORIA PARK,6101
102,EDEN HILL,6054
103,EDGEWATER,6027
104,EGLINTON,6034
105,ELLENBROOK,6069
106,EMBLETON,6062
107,ERSKINE,6210
108,FAIRBRIDGE,6208
109,FALCON,6210
110,FERNDALE,6148
111,FLOREAT,6014
112,FORRESTDALE,6112
113,FORRESTFIELD,6058
114,FREMANTLE,6160
115,FURNISSDALE,6209
116,GIRRAWHEEN,6064
117,GLEN FORREST,6071
118,GLENDALOUGH,6016
119,GNANGARA,6077
120,GOLDEN BAY,6174
121,GOOSEBERRY HILL,6076
122,GORRIE,6556
123,GOSNELLS,6110
124,GREENFIELDS,6210
125,GREENMOUNT,6056
126,GREENWOOD,6024
127,GUILDFORD,6055
128,GWELUP,6018
129,HACKETTS GULLY,6076
130,HALLS HEAD,6210
131,HAMERSLEY,6022
132,HAMILTON HILL,6163
133,HAMMOND PARK,6164
134,HARRISDALE,6112
135,HAYNES,6112
136,HAZELMERE,6055
137,HEATHRIDGE,6027
138,HELENA VALLEY,6056
139,HENDERSON,6166
140,HENLEY BROOK,6055
141,HERDSMAN,6017
142,HERNE HILL,6056
143,HIGH WYCOMBE,6057
144,HIGHGATE,6003
145,HILBERT,6112
146,HILLARYS,6025
147,HILLMAN,6168
148,HILTON,6163
149,HOCKING,6065
150,HOPE VALLEY,6165
151,HOPELAND,6125
152,HOVEA,6071
153,HUNTINGDALE,6110
154,ILUKA,6028
155,INGLEWOOD,6052
156,INNALOO,6018
157,JANDABUP,6077
158,JANDAKOT,6164
159,JANE BROOK,6056
160,JINDALEE,6036
161,JOLIMONT,6014
162,JOONDALUP,6027
163,JOONDANNA,6060
164,KALAMUNDA,6076
165,KALLAROO,6025
166,KARAWARA,6152
167,KARDINYA,6163
168,KARNUP,6176
169,KARRAGULLEN,6111
170,KARRAKATTA,6010
171,KARRAKUP,6122
172,KARRINYUP,6018
173,KELMSCOTT,6111
174,KENSINGTON,6151
175,KENWICK,6107
176,KEWDALE,6105
177,KIARA,6054
178,KINGS PARK,6005
179,KINGSLEY,6026
180,KINROSS,6028
181,KOONDOOLA,6064
182,KOONGAMIA,6056
183,KWINANA,6167
184,KWINANA BEACH,6167
185,KWINANA TOWN CENTRE,6167
186,LAKELANDS,6180
187,LANDSDALE,6065
188,LANGFORD,6147
189,LATHLAIN,6100
190,LEDA,6170
191,LEEDERVILLE,6007
192,LEEMING,6149
193,LESMURDIE,6076
194,LEXIA,6079
195,LOCKRIDGE,6054
196,LYNWOOD,6147
197,MADDINGTON,6109
198,MADELEY,6065
199,MADORA BAY,6210
200,MAHOGANY CREEK,6072
201,MAIDA VALE,6057
202,MALAGA,6090
203,MANDOGALUP,6167
204,MANDURAH,6210
205,MANNING,6152
206,MARANGAROO,6064
207,MARDELLA,6125
208,MARIGINIUP,6078
209,MARMION,6020
210,MARTIN,6110
211,MAYLANDS,6051
212,MEADOW SPRINGS,6210
213,MEDINA,6167
214,MELALEUCA,6079
215,MELVILLE,6156
216,MENORA,6050
217,MERRIWA,6030
218,MIDDLE SWAN,6056
219,MIDLAND,6056
220,MIDVALE,6056
221,MILLENDON,6056
222,MINDARIE,6030
223,MIRRABOOKA,6061
224,MORLEY,6062
225,MOSMAN PARK,6012
226,MOUNT CLAREMONT,6010
227,MOUNT HAWTHORN,6016
228,MOUNT HELENA,6082
229,MOUNT LAWLEY,6050
230,MOUNT NASURA,6112
231,MOUNT PLEASANT,6153
232,MOUNT RICHON,6112
233,MULLALOO,6027
234,MUNDARING,6073
235,MUNSTER,6166
236,MURDOCH,6150
237,MYAREE,6154
238,NAVAL BASE,6165
239,NEDLANDS,6009
240,NEERABUP,6031
241,NIRIMBA,6208
242,NOLLAMARA,6061
243,NORANDA,6062
244,NORTH BEACH,6020
245,NORTH COOGEE,6163
246,NORTH FREMANTLE,6159
247,NORTH LAKE,6163
248,NORTH PERTH,6006
249,NORTH YUNDERUP,6208
250,NORTHBRIDGE,6003
251,NOWERGUP,6032
252,O'CONNOR,6163
253,OAKFORD,6121
254,OAKLEY,6208
255,OCEAN REEF,6027
256,OLDBURY,6121
257,ORANGE GROVE,6109
258,ORELIA,6167
259,OSBORNE PARK,6017
260,PADBURY,6025
261,PALMYRA,6157
262,PARKERVILLE,6081
263,PARKLANDS,6180
264,PARKWOOD,6147
265,PARMELIA,6167
266,PAULLS VALLEY,6076
267,PEARSALL,6065
268,PEPPERMINT GROVE,6011
269,PERON,6168
270,PERTH,6000
271,PERTH AIRPORT,6105
272,PIARA WATERS,6112
273,PICKERING BROOK,6076
274,PIESSE BROOK,6076
275,POINT GREY,6208
276,PORT COOGEE,6163
277,PORT KENNEDY,6172
278,POSTANS,6167
279,QUEENS PARK,6107
280,QUINNS ROCKS,6030
281,RAVENSWOOD,6208
282,RED HILL,6056
283,REDCLIFFE,6104
284,RESERVOIR,6076
285,RIDGEWOOD,6030
286,RIVERTON,6148
287,RIVERVALE,6103
288,ROCKINGHAM,6168
289,ROLEYSTONE,6111
290,ROSSMOYNE,6148
291,SAFETY BAY,6169
292,SAINT JAMES ,6102
293,SALTER POINT,6152
294,SAMSON,6163
295,SAN REMO,6210
296,SAWYERS VALLEY,6074
297,SCARBOROUGH,6019
298,SECRET HARBOUR,6173
299,SEVILLE GROVE,6112
300,SHELLEY,6148
301,SHENTON PARK,6008
302,SHOALWATER,6169
303,SILVER SANDS,6210
304,SINAGRA,6065
305,SINGLETON,6175
306,SORRENTO,6020
307,SOUTH FREMANTLE,6162
308,SOUTH GUILDFORD,6055
309,SOUTH LAKE,6164
310,SOUTH PERTH,6151
311,SOUTH YUNDERUP,6208
312,SOUTHERN RIVER,6110
313,SPEARWOOD,6163
314,STAKE HILL,6181
315,STIRLING,6021
316,STONEVILLE,6081
317,STRATTON,6056
318,SUBIACO,6008
319,SUCCESS,6164
320,SWAN VIEW,6056
321,SWANBOURNE,6010
322,TAMALA PARK,6030
323,TAPPING,6065
324,THE LAKES,6556
325,THE SPECTACLES,6167
326,THE VINES,6069
327,THORNLIE,6108
328,TRIGG,6029
329,TUART HILL,6060
330,TWO ROCKS,6037
331,UPPER SWAN,6069
332,VICTORIA PARK,6100
333,VIVEASH,6056
334,WAIKIKI,6169
335,WALLISTON,6076
336,WANDI,6167
337,WANGARA,6065
338,WANNANUP,6210
339,WANNEROO,6065
340,WARNBRO,6169
341,WARWICK,6024
342,WATERFORD,6152
343,WATERMANS BAY,6020
344,WATTLE GROVE,6107
345,WATTLEUP,6166
346,WELLARD,6170
347,WELSHPOOL,6106
348,WEMBLEY,6014
349,WEMBLEY DOWNS,6019
350,WEST LEEDERVILLE,6007
351,WEST PERTH,6005
352,WEST SWAN,6055
353,WESTFIELD,6111
354,WESTMINSTER,6061
355,WHITBY,6123
356,WHITE GUM VALLEY,6162
357,WHITEMAN,6068
358,WILBINGA,6041
359,WILLAGEE,6156
360,WILLETTON,6155
361,WILSON,6107
362,WINTHROP,6150
363,WOODBRIDGE,6056
364,WOODLANDS,6018
365,WOODVALE,6026
366,WUNGONG,6112
367,YANCHEP,6035
368,YANGEBUP,6164
369,YOKINE,6060
370,YUNDERUP,6208
